type1,type2,spritepath_front,spritepath_back
Poison,Dark,pokemon_images/sprites/0139-Muk Alola-89/front/normal,pokemon_images/sprites/0139-Muk Alola-89/back/normal
Water,,pokemon_images/sprites/0140-Shellder-90/front/normal,pokemon_images/sprites/0140-Shellder-90/back/normal
Water,Ice,pokemon_images/sprites/0141-Cloyster-91/front/normal,pokemon_images/sprites/0141-Cloyster-91/back/normal
Ghost,Poison,pokemon_images/sprites/0142-Gastly-92/front/normal,pokemon_images/sprites/0142-Gastly-92/back/normal
Ghost,Poison,pokemon_images/sprites/0143-Haunter-93/front/normal,pokemon_images/sprites/0143-Haunter-93/back/normal
Ghost,Poison,pokemon_images/sprites/0144-Gengar-94/front/normal,pokemon_images/sprites/0144-Gengar-94/back/normal
Rock,Ground,pokemon_images/sprites/0147-Onix-95/front/normal,pokemon_images/sprites/0147-Onix-95/back/normal
Psychic,,pokemon_images/sprites/0148-Drowzee-96/front/normal,pokemon_images/sprites/0148-Drowzee-96/back/normal
Psychic,,pokemon_images/sprites/0149-Hypno-97/front/normal,pokemon_images/sprites/0149-Hypno-97/back/normal
Water,,pokemon_images/sprites/0150-Krabby-98/front/normal,pokemon_images/sprites/0150-Krabby-98/back/normal
Water,,pokemon_images/sprites/0151-Kingler-99/front/normal,pokemon_images/sprites/0151-Kingler-99/back/normal
Electric,,pokemon_images/sprites/0153-Voltorb-100/front/normal,pokemon_images/sprites/0153-Voltorb-100/back/normal
Electric,,pokemon_images/sprites/0154-Electrode-101/front/normal,pokemon_images/sprites/0154-Electrode-101/back/normal
Grass,Psychic,pokemon_images/sprites/0155-Exeggcute-102/front/normal,pokemon_images/sprites/0155-Exeggcute-102/back/normal
Grass,Psychic,pokemon_images/sprites/0156-Exeggutor-103/front/normal,pokemon_images/sprites/0156-Exeggutor-103/back/normal
Grass,Dragon,pokemon_images/sprites/0157-Exeggutor Alola-103/front/normal,pokemon_images/sprites/0157-Exeggutor Alola-103/back/normal
Ground,,pokemon_images/sprites/0158-Cubone-104/front/normal,pokemon_images/sprites/0158-Cubone-104/back/normal
Ground,,pokemon_images/sprites/0159-Marowak-105/front/normal,pokemon_images/sprites/0159-Marowak-105/back/normal
Fire,Ghost,pokemon_images/sprites/0160-Marowak Alola-105/front/normal,pokemon_images/sprites/0160-Marowak Alola-105/back/normal
Fighting,,pokemon_images/sprites/0162-Hitmonlee-106/front/normal,pokemon_images/sprites/0162-Hitmonlee-106/back/normal
Fighting,,pokemon_images/sprites/0163-Hitmonchan-107/front/normal,pokemon_images/sprites/0163-Hitmonchan-107/back/normal
Normal,,pokemon_images/sprites/0164-Lickitung-108/front/normal,pokemon_images/sprites/0164-Lickitung-108/back/normal
Poison,,pokemon_images/sprites/0165-Koffing-109/front/normal,pokemon_images/sprites/0165-Koffing-109/back/normal
Poison,,pokemon_images/sprites/0166-Weezing-110/front/normal,pokemon_images/sprites/0166-Weezing-110/back/normal
Poison,Fairy,pokemon_images/sprites/0167-Weezing Galar-110/front/normal,pokemon_images/sprites/0167-Weezing Galar-110/back/normal
Ground,Rock,pokemon_images/sprites/0168-Rhyhorn-111/front/normal,pokemon_images/sprites/0168-Rhyhorn-111/back/normal
Ground,Rock,pokemon_images/sprites/0169-Rhydon-112/front/normal,pokemon_images/sprites/0169-Rhydon-112/back/normal
Normal,,pokemon_images/sprites/0170-Chansey-113/front/normal,pokemon_images/sprites/0170-Chansey-113/back/normal
Grass,,pokemon_images/sprites/0171-Tangela-114/front/normal,pokemon_images/sprites/0171-Tangela-114/back/normal
Normal,,pokemon_images/sprites/0172-Kangaskhan-115/front/normal,pokemon_images/sprites/0172-Kangaskhan-115/back/normal
Water,,pokemon_images/sprites/0174-Horsea-116/front/normal,pokemon_images/sprites/0174-Horsea-116/back/normal
Water,,pokemon_images/sprites/0175-Seadra-117/front/normal,pokemon_images/sprites/0175-Seadra-117/back/normal
Water,,pokemon_images/sprites/0176-Goldeen-118/front/normal,pokemon_images/sprites/0176-Goldeen-118/back/normal
Water,,pokemon_images/sprites/0177-Seaking-119/front/normal,pokemon_images/sprites/0177-Seaking-119/back/normal
Water,,pokemon_images/sprites/0178-Staryu-120/front/normal,pokemon_images/sprites/0178-Staryu-120/back/normal
Water,Psychic,pokemon_images/sprites/0179-Starmie-121/front/normal,pokemon_images/sprites/0179-Starmie-121/back/normal
Psychic,Fairy,pokemon_images/sprites/0180-Mr Mime-122/front/normal,pokemon_images/sprites/0180-Mr Mime-122/back/normal
Ice,Psychic,pokemon_images/sprites/0181-Mr Mime Galar-122/front/normal,pokemon_images/sprites/0181-Mr Mime Galar-122/back/normal
Bug,Flying,pokemon_images/sprites/0182-Scyther-123/front/normal,pokemon_images/sprites/0182-Scyther-123/back/normal
Ice,Psychic,pokemon_images/sprites/0183-Jynx-124/front/normal,pokemon_images/sprites/0183-Jynx-124/back/normal
Electric,,pokemon_images/sprites/0184-Electabuzz-125/front/normal,pokemon_images/sprites/0184-Electabuzz-125/back/normal
Fire,,pokemon_images/sprites/0185-Magmar-126/front/normal,pokemon_images/sprites/0185-Magmar-126/back/normal
Bug,,pokemon_images/sprites/0186-Pinsir-127/front/normal,pokemon_images/sprites/0186-Pinsir-127/back/normal
Normal,,pokemon_images/sprites/0188-Tauros-128/front/normal,pokemon_images/sprites/0188-Tauros-128/back/normal
Water,,pokemon_images/sprites/0189-Magikarp-129/front/normal,pokemon_images/sprites/0189-Magikarp-129/back/normal
Water,Flying,pokemon_images/sprites/0190-Gyarados-130/front/normal,pokemon_images/sprites/0190-Gyarados-130/back/normal
Water,Ice,pokemon_images/sprites/0192-Lapras-131/front/normal,pokemon_images/sprites/0192-Lapras-131/back/normal
Normal,,pokemon_images/sprites/0194-Ditto-132/front/normal,pokemon_images/sprites/0194-Ditto-132/back/normal
Normal,,pokemon_images/sprites/0195-Eevee-133/front/normal,pokemon_images/sprites/0195-Eevee-133/back/normal
Water,,pokemon_images/sprites/0197-Vaporeon-134/front/normal,pokemon_images/sprites/0197-Vaporeon-134/back/normal
Electric,,pokemon_images/sprites/0198-Jolteon-135/front/normal,pokemon_images/sprites/0198-Jolteon-135/back/normal
Fire,,pokemon_images/sprites/0199-Flareon-136/front/normal,pokemon_images/sprites/0199-Flareon-136/back/normal
Normal,,pokemon_images/sprites/0200-Porygon-137/front/normal,pokemon_images/sprites/0200-Porygon-137/back/normal
Rock,Water,pokemon_images/sprites/0201-Omanyte-138/front/normal,pokemon_images/sprites/0201-Omanyte-138/back/normal
Rock,Water,pokemon_images/sprites/0202-Omastar-139/front/normal,pokemon_images/sprites/0202-Omastar-139/back/normal
Rock,Water,pokemon_images/sprites/0203-Kabuto-140/front/normal,pokemon_images/sprites/0203-Kabuto-140/back/normal
Rock,Water,pokemon_images/sprites/0204-Kabutops-141/front/normal,pokemon_images/sprites/0204-Kabutops-141/back/normal
Rock,Flying,pokemon_images/sprites/0205-Aerodactyl-142/front/normal,pokemon_images/sprites/0205-Aerodactyl-142/back/normal
Normal,,pokemon_images/sprites/0207-Snorlax-143/front/normal,pokemon_images/sprites/0207-Snorlax-143/back/normal
Ice,Flying,pokemon_images/sprites/0209-Articuno-144/front/normal,pokemon_images/sprites/0209-Articuno-144/back/normal
Psychic,Flying,pokemon_images/sprites/0210-Articuno Galar-144/front/normal,pokemon_images/sprites/0210-Articuno Galar-144/back/normal
Electric,Flying,pokemon_images/sprites/0211-Zapdos-145/front/normal,pokemon_images/sprites/0211-Zapdos-145/back/normal
Fighting,Flying,pokemon_images/sprites/0212-Zapdos Galar-145/front/normal,pokemon_images/sprites/0212-Zapdos Galar-145/back/normal
Fire,Flying,pokemon_images/sprites/0213-Moltres-146/front/normal,pokemon_images/sprites/0213-Moltres-146/back/normal
Dark,Flying,pokemon_images/sprites/0214-Moltres Galar-146/front/normal,pokemon_images/sprites/0214-Moltres Galar-146/back/normal
Dragon,,pokemon_images/sprites/0215-Dratini-147/front/normal,pokemon_images/sprites/0215-Dratini-147/back/normal
Dragon,,pokemon_images/sprites/0216-Dragonair-148/front/normal,pokemon_images/sprites/0216-Dragonair-148/back/normal
Dragon,Flying,pokemon_images/sprites/0217-Dragonite-149/front/normal,pokemon_images/sprites/0217-Dragonite-149/back/normal
Psychic,,pokemon_images/sprites/0218-Mewtwo-150/front/normal,pokemon_images/sprites/0218-Mewtwo-150/back/normal
Psychic,,pokemon_images/sprites/0221-Mew-151/front/normal,pokemon_images/sprites/0221-Mew-151/back/normal
Grass,,pokemon_images/sprites/0222-Chikorita-152/front/normal,pokemon_images/sprites/0222-Chikorita-152/back/normal
Grass,,pokemon_images/sprites/0223-Bayleef-153/front/normal,pokemon_images/sprites/0223-Bayleef-153/back/normal
Grass,,pokemon_images/sprites/0224-Meganium-154/front/normal,pokemon_images/sprites/0224-Meganium-154/back/normal
Fire,,pokemon_images/sprites/0225-Cyndaquil-155/front/normal,pokemon_images/sprites/0225-Cyndaquil-155/back/normal
Fire,,pokemon_images/sprites/0226-Quilava-156/front/normal,pokemon_images/sprites/0226-Quilava-156/back/normal
Fire,,pokemon_images/sprites/0227-Typhlosion-157/front/normal,pokemon_images/sprites/0227-Typhlosion-157/back/normal
Water,,pokemon_images/sprites/0228-Totodile-158/front/normal,pokemon_images/sprites/0228-Totodile-158/back/normal
Water,,pokemon_images/sprites/0229-Croconaw-159/front/normal,pokemon_images/sprites/0229-Croconaw-159/back/normal
Water,,pokemon_images/sprites/0230-Feraligatr-160/front/normal,pokemon_images/sprites/0230-Feraligatr-160/back/normal
Normal,,pokemon_images/sprites/0231-Sentret-161/front/normal,pokemon_images/sprites/0231-Sentret-161/back/normal
Normal,,pokemon_images/sprites/0232-Furret-162/front/normal,pokemon_images/sprites/0232-Furret-162/back/normal
Normal,Flying,pokemon_images/sprites/0233-Hoothoot-163/front/normal,pokemon_images/sprites/0233-Hoothoot-163/back/normal
Normal,Flying,pokemon_images/sprites/0234-Noctowl-164/front/normal,pokemon_images/sprites/0234-Noctowl-164/back/normal
Bug,Flying,pokemon_images/sprites/0235-Ledyba-165/front/normal,pokemon_images/sprites/0235-Ledyba-165/back/normal
Bug,Flying,pokemon_images/sprites/0236-Ledian-166/front/normal,pokemon_images/sprites/0236-Ledian-166/back/normal
Bug,Poison,pokemon_images/sprites/0237-Spinarak-167/front/normal,pokemon_images/sprites/0237-Spinarak-167/back/normal
Bug,Poison,pokemon_images/sprites/0238-Ariados-168/front/normal,pokemon_images/sprites/0238-Ariados-168/back/normal
Poison,Flying,pokemon_images/sprites/0239-Crobat-169/front/normal,pokemon_images/sprites/0239-Crobat-169/back/normal
Water,Electric,pokemon_images/sprites/0240-Chinchou-170/front/normal,pokemon_images/sprites/0240-Chinchou-170/back/normal
Water,Electric,pokemon_images/sprites/0241-Lanturn-171/front/normal,pokemon_images/sprites/0241-Lanturn-171/back/normal
Electric,,pokemon_images/sprites/0242-Pichu-172/front/normal,pokemon_images/sprites/0242-Pichu-172/back/normal
Fairy,,pokemon_images/sprites/0243-Cleffa-173/front/normal,pokemon_images/sprites/0243-Cleffa-173/back/normal
Normal,Fairy,pokemon_images/sprites/0244-Igglybuff-174/front/normal,pokemon_images/sprites/0244-Igglybuff-174/back/normal
Fairy,,pokemon_images/sprites/0245-Togepi-175/front/normal,pokemon_images/sprites/0245-Togepi-175/back/normal
Fairy,Flying,pokemon_images/sprites/0246-Togetic-176/front/normal,pokemon_images/sprites/0246-Togetic-176/back/normal
Psychic,Flying,pokemon_images/sprites/0247-Natu-177/front/normal,pokemon_images/sprites/0247-Natu-177/back/normal
Psychic,Flying,pokemon_images/sprites/0248-Xatu-178/front/normal,pokemon_images/sprites/0248-Xatu-178/back/normal
Electric,,pokemon_images/sprites/0249-Mareep-179/front/normal,pokemon_images/sprites/0249-Mareep-179/back/normal
Electric,,pokemon_images/sprites/0250-Flaaffy-180/front/normal,pokemon_images/sprites/0250-Flaaffy-180/back/normal
Electric,,pokemon_images/sprites/0251-Ampharos-181/front/normal,pokemon_images/sprites/0251-Ampharos-181/back/normal
Grass,,pokemon_images/sprites/0253-Bellossom-182/front/normal,pokemon_images/sprites/0253-Bellossom-182/back/normal
Water,Fairy,pokemon_images/sprites/0254-Marill-183/front/normal,pokemon_images/sprites/0254-Marill-183/back/normal
Water,Fairy,pokemon_images/sprites/0255-Azumarill-184/front/normal,pokemon_images/sprites/0255-Azumarill-184/back/normal
Rock,,pokemon_images/sprites/0256-Sudowoodo-185/front/normal,pokemon_images/sprites/0256-Sudowoodo-185/back/normal
Water,,pokemon_images/sprites/0257-Politoed-186/front/normal,pokemon_images/sprites/0257-Politoed-186/back/normal
Grass,Flying,pokemon_images/sprites/0258-Hoppip-187/front/normal,pokemon_images/sprites/0258-Hoppip-187/back/normal
Grass,Flying,pokemon_images/sprites/0259-Skiploom-188/front/normal,pokemon_images/sprites/0259-Skiploom-188/back/normal
Grass,Flying,pokemon_images/sprites/0260-Jumpluff-189/front/normal,pokemon_images/sprites/0260-Jumpluff-189/back/normal
Normal,,pokemon_images/sprites/0261-Aipom-190/front/normal,pokemon_images/sprites/0261-Aipom-190/back/normal
Grass,,pokemon_images/sprites/0262-Sunkern-191/front/normal,pokemon_images/sprites/0262-Sunkern-191/back/normal
Grass,,pokemon_images/sprites/0263-Sunflora-192/front/normal,pokemon_images/sprites/0263-Sunflora-192/back/normal
Bug,Flying,pokemon_images/sprites/0264-Yanma-193/front/normal,pokemon_images/sprites/0264-Yanma-193/back/normal
Water,Ground,pokemon_images/sprites/0265-Wooper-194/front/normal,pokemon_images/sprites/0265-Wooper-194/back/normal
Water,Ground,pokemon_images/sprites/0266-Quagsire-195/front/normal,pokemon_images/sprites/0266-Quagsire-195/back/normal
Psychic,,pokemon_images/sprites/0267-Espeon-196/front/normal,pokemon_images/sprites/0267-Espeon-196/back/normal
Dark,,pokemon_images/sprites/0268-Umbreon-197/front/normal,pokemon_images/sprites/0268-Umbreon-197/back/normal
Dark,Flying,pokemon_images/sprites/0269-Murkrow-198/front/normal,pokemon_images/sprites/0269-Murkrow-198/back/normal
Water,Psychic,pokemon_images/sprites/0270-Slowking-199/front/normal,pokemon_images/sprites/0270-Slowking-199/back/normal
Poison,Psychic,pokemon_images/sprites/0271-Slowking Galar-199/front/normal,pokemon_images/sprites/0271-Slowking Galar-199/back/normal
