type1,type2,Red,Orange,Yellow,Green,Cyan,Blue,Purple,Pink,White,Gray,Black,Brown
Grass,Poison,731.0,90.0,0.0,0.0,0.0,365.0,0.0,330.0,90.0,0.0,146.0,0.0
Bug,Grass,132.0,406.0,48.0,0.0,0.0,6.0,0.0,0.0,28.0,50.0,103.0,136.0
Bug,Grass,1344.0,111.0,113.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,140.0,0.0
Bug,Poison,95.0,0.0,0.0,0.0,0.0,53.0,731.0,94.0,127.0,47.0,146.0,31.0
Bug,Poison,0.0,0.0,0.0,0.0,0.0,0.0,1122.0,0.0,549.0,0.0,177.0,58.0
Ground,None,30.0,106.0,48.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,59.0,102.0
Ground,Steel,30.0,105.0,17.0,0.0,0.0,0.0,0.0,55.0,19.0,99.0,56.0,155.0
Ground,None,82.0,250.0,49.0,0.0,0.0,0.0,0.0,0.0,463.0,0.0,89.0,254.0
Ground,Steel,81.0,148.0,311.0,0.0,0.0,0.0,0.0,104.0,102.0,204.0,149.0,347.0
Normal,None,37.0,118.0,390.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,281.0,0.0
Dark,None,0.0,42.0,10.0,0.0,0.0,679.0,0.0,0.0,104.0,35.0,195.0,0.0
Steel,None,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,35.0,866.0,228.0,0.0
Normal,None,13.0,116.0,44.0,0.0,0.0,0.0,0.0,0.0,1178.0,0.0,392.0,0.0
Dark,None,0.0,0.0,0.0,0.0,2.0,957.0,0.0,0.0,649.0,0.0,295.0,0.0
Water,None,0.0,353.0,410.0,0.0,0.0,0.0,0.0,0.0,124.0,6.0,133.0,0.0
Water,None,10.0,0.0,76.0,0.0,0.0,1154.0,0.0,0.0,57.0,0.0,171.0,0.0
Fighting,None,330.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,0.0,225.0,152.0
Fighting,None,19.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0,79.0,226.0,413.0
Fire,None,244.0,145.0,133.0,0.0,0.0,0.0,0.0,0.0,441.0,53.0,203.0,77.0
Fire,None,368.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,1778.0,0.0,524.0,195.0
Water,None,19.0,0.0,0.0,0.0,0.0,392.0,0.0,0.0,131.0,44.0,166.0,0.0
Water,None,0.0,0.0,0.0,0.0,0.0,624.0,0.0,0.0,239.0,214.0,213.0,0.0
Water,Fighting,0.0,0.0,0.0,0.0,0.0,1203.0,0.0,0.0,341.0,119.0,384.0,0.0
Psychic,None,0.0,66.0,647.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,179.0,87.0
Psychic,None,25.0,65.0,1210.0,0.0,0.0,0.0,0.0,0.0,147.0,37.0,354.0,207.0
Psychic,None,0.0,151.0,1267.0,0.0,0.0,0.0,0.0,0.0,243.0,21.0,579.0,22.0
Fighting,None,26.0,0.0,39.0,123.0,655.0,0.0,0.0,6.0,134.0,0.0,131.0,0.0
Fighting,None,31.0,0.0,91.0,0.0,0.0,46.0,1472.0,27.0,51.0,0.0,279.0,0.0
Fighting,None,24.0,0.0,218.0,0.0,0.0,352.0,0.0,0.0,755.0,772.0,413.0,0.0
Grass,Poison,36.0,24.0,158.0,207.0,0.0,0.0,0.0,1.0,7.0,0.0,104.0,119.0
Grass,Poison,100.0,33.0,344.0,440.0,0.0,0.0,0.0,145.0,114.0,0.0,127.0,0.0
Grass,Poison,61.0,161.0,469.0,901.0,0.0,0.0,0.0,0.0,172.0,0.0,313.0,0.0
Water,Poison,188.0,0.0,77.0,0.0,196.0,300.0,0.0,17.0,102.0,0.0,205.0,0.0
Water,Poison,314.0,0.0,0.0,0.0,273.0,435.0,0.0,0.0,59.0,572.0,362.0,0.0
Rock,Ground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.0,273.0,96.0,0.0
Rock,Electric,0.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,380.0,67.0,236.0,0.0
Rock,Ground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.0,388.0,255.0,0.0
Rock,Electric,0.0,32.0,13.0,0.0,0.0,0.0,0.0,0.0,61.0,1489.0,291.0,0.0
Rock,Ground,18.0,0.0,383.0,879.0,0.0,0.0,0.0,0.0,358.0,27.0,448.0,0.0
Rock,Electric,84.0,35.0,0.0,0.0,0.0,619.0,0.0,0.0,247.0,1352.0,273.0,0.0
Fire,None,384.0,102.0,99.0,0.0,0.0,32.0,0.0,0.0,548.0,0.0,144.0,51.0
Psychic,None,0.0,0.0,0.0,0.0,516.0,123.0,940.0,0.0,459.0,109.0,120.0,0.0
Fire,None,760.0,457.0,195.0,0.0,0.0,28.0,0.0,0.0,960.0,6.0,128.0,102.0
Psychic,Fairy,0.0,0.0,0.0,283.0,87.0,82.0,1369.0,0.0,874.0,133.0,220.0,0.0
Water,Psychic,44.0,39.0,0.0,0.0,0.0,0.0,0.0,976.0,143.0,25.0,146.0,0.0
Psychic,None,0.0,27.0,174.0,0.0,0.0,0.0,0.0,750.0,179.0,0.0,90.0,0.0
Water,Psychic,587.0,49.0,0.0,0.0,0.0,0.0,0.0,273.0,407.0,271.0,418.0,132.0
Poison,Psychic,15.0,0.0,0.0,0.0,0.0,0.0,234.0,855.0,586.0,254.0,273.0,0.0
Electric,Steel,10.0,0.0,0.0,14.0,91.0,0.0,0.0,0.0,63.0,144.0,70.0,0.0
Electric,Steel,45.0,47.0,0.0,90.0,269.0,0.0,0.0,0.0,262.0,553.0,211.0,0.0
Normal,Flying,0.0,97.0,293.0,266.0,0.0,0.0,0.0,0.0,239.0,0.0,214.0,124.0
Fighting,None,0.0,130.0,0.0,139.0,157.0,0.0,0.0,202.0,265.0,127.0,222.0,231.0
Normal,Flying,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,447.0,25.0,178.0,292.0
Normal,Flying,44.0,240.0,1.0,0.0,0.0,0.0,0.0,66.0,642.0,289.0,417.0,109.0
Water,None,25.0,0.0,29.0,0.0,0.0,119.0,0.0,27.0,1009.0,0.0,113.0,0.0
Water,Ice,18.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,1900.0,7.0,203.0,0.0
Poison,None,0.0,0.0,0.0,0.0,0.0,3.0,446.0,537.0,18.0,11.0,133.0,0.0
Poison,Dark,0.0,0.0,76.0,728.0,193.0,41.0,0.0,0.0,31.0,0.0,184.0,15.0
Poison,None,0.0,0.0,0.0,0.0,0.0,22.0,891.0,1367.0,53.0,55.0,347.0,0.0
Poison,Dark,0.0,0.0,422.0,675.0,0.0,484.0,0.0,521.0,57.0,55.0,468.0,0.0
Water,None,79.0,0.0,0.0,0.0,0.0,283.0,228.0,0.0,29.0,8.0,164.0,0.0
Water,Ice,0.0,0.0,0.0,0.0,0.0,0.0,1620.0,0.0,61.0,188.0,252.0,0.0
Ghost,Poison,24.0,0.0,0.0,0.0,0.0,0.0,0.0,865.0,680.0,0.0,68.0,0.0
Ghost,Poison,184.0,0.0,0.0,0.0,0.0,0.0,751.0,581.0,12.0,0.0,168.0,0.0
Ghost,Poison,22.0,0.0,0.0,0.0,0.0,464.0,1060.0,187.0,77.0,0.0,124.0,0.0
Rock,Ground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.0,1281.0,418.0,0.0
Psychic,None,17.0,0.0,886.0,0.0,0.0,0.0,0.0,0.0,551.0,0.0,155.0,46.0
Psychic,None,0.0,71.0,1149.0,0.0,0.0,89.0,0.0,0.0,267.0,0.0,212.0,0.0
Water,None,287.0,230.0,47.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,192.0,41.0
Water,None,655.0,343.0,128.0,0.0,0.0,0.0,0.0,0.0,768.0,0.0,320.0,0.0
Electric,None,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,58.0,0.0
Electric,None,435.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,819.0,72.0,131.0,0.0
Grass,Psychic,501.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,733.0,0.0,153.0,0.0
Grass,Psychic,0.0,272.0,628.0,770.0,0.0,0.0,0.0,0.0,55.0,0.0,337.0,63.0
Grass,Dragon,0.0,174.0,0.0,1077.0,0.0,0.0,0.0,0.0,747.0,12.0,420.0,291.0
Ground,None,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,316.0,0.0,140.0,209.0
Ground,None,2.0,80.0,210.0,0.0,0.0,0.0,0.0,0.0,651.0,0.0,144.0,0.0
Fire,Ghost,0.0,0.0,0.0,160.0,455.0,0.0,354.0,117.0,386.0,82.0,181.0,0.0
Fighting,None,0.0,0.0,104.0,56.0,0.0,0.0,0.0,0.0,607.0,253.0,0.0,332.0
Fighting,None,129.0,20.0,67.0,0.0,0.0,0.0,36.0,0.0,482.0,48.0,257.0,0.0
Normal,None,1043.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,347.0,0.0,251.0,0.0
Poison,None,26.0,0.0,555.0,0.0,0.0,0.0,0.0,605.0,357.0,0.0,70.0,0.0
Poison,None,25.0,4.0,622.0,0.0,0.0,0.0,1501.0,0.0,422.0,0.0,178.0,0.0
Poison,Fairy,0.0,0.0,96.0,572.0,0.0,0.0,0.0,39.0,728.0,1881.0,265.0,0.0
Ground,Rock,2.0,0.0,0.0,0.0,0.0,1324.0,0.0,0.0,619.0,0.0,300.0,0.0
Ground,Rock,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1175.0,341.0,0.0
Normal,None,133.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,611.0,0.0,134.0,130.0
Grass,None,60.0,0.0,0.0,0.0,320.0,540.0,0.0,4.0,15.0,0.0,292.0,26.0
Normal,None,22.0,0.0,324.0,136.0,0.0,0.0,0.0,32.0,1056.0,0.0,320.0,839.0
Water,None,10.0,0.0,74.0,0.0,0.0,372.0,0.0,0.0,46.0,0.0,78.0,0.0
Water,None,0.0,0.0,205.0,0.0,0.0,767.0,0.0,0.0,85.0,1.0,159.0,0.0
Water,None,141.0,82.0,0.0,0.0,7.0,0.0,0.0,28.0,451.0,156.0,105.0,0.0
Water,None,403.0,99.0,0.0,0.0,0.0,0.0,0.0,3.0,808.0,346.0,300.0,0.0
Water,None,40.0,244.0,202.0,0.0,0.0,0.0,0.0,9.0,193.0,0.0,110.0,33.0
Water,Psychic,72.0,0.0,201.0,0.0,0.0,535.0,418.0,51.0,214.0,0.0,207.0,0.0
Psychic,Fairy,173.0,0.0,0.0,0.0,0.0,329.0,0.0,199.0,274.0,0.0,208.0,52.0
Ice,Psychic,0.0,0.0,0.0,0.0,42.0,530.0,0.0,75.0,371.0,62.0,220.0,40.0
Bug,Flying,0.0,0.0,61.0,704.0,0.0,0.0,0.0,0.0,289.0,58.0,205.0,0.0
Ice,Psychic,456.0,0.0,357.0,0.0,0.0,20.0,183.0,391.0,253.0,0.0,313.0,0.0
Electric,None,0.0,0.0,988.0,0.0,0.0,175.0,0.0,15.0,251.0,28.0,322.0,0.0
Fire,None,817.0,34.0,484.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,303.0,93.0
Bug,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1507.0,0.0,273.0,0.0
Normal,None,0.0,675.0,0.0,0.0,0.0,97.0,0.0,0.0,547.0,115.0,301.0,86.0
Water,None,174.0,276.0,65.0,0.0,0.0,0.0,0.0,107.0,300.0,75.0,108.0,0.0
Water,Flying,89.0,0.0,0.0,0.0,677.0,892.0,0.0,18.0,993.0,151.0,438.0,97.0
Water,Ice,0.0,0.0,2.0,0.0,83.0,931.0,0.0,0.0,603.0,215.0,318.0,0.0
Normal,None,0.0,0.0,0.0,0.0,0.0,0.0,674.0,0.0,11.0,0.0,62.0,0.0
Normal,None,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,162.0,434.0
Water,None,2.0,0.0,72.0,0.0,859.0,0.0,6.0,2.0,126.0,41.0,248.0,0.0
Electric,None,0.0,0.0,646.0,0.0,0.0,0.0,17.0,0.0,141.0,27.0,291.0,0.0
Fire,None,510.0,0.0,0.0,0.0,0.0,18.0,0.0,15.0,909.0,0.0,218.0,0.0
Normal,None,306.0,0.0,0.0,0.0,409.0,0.0,0.0,0.0,54.0,0.0,75.0,0.0
Rock,Water,0.0,0.0,74.0,0.0,5.0,206.0,0.0,0.0,413.0,8.0,137.0,0.0
Rock,Water,0.0,0.0,0.0,0.0,0.0,482.0,0.0,0.0,753.0,3.0,207.0,0.0
Rock,Water,18.0,197.0,80.0,0.0,0.0,17.0,0.0,24.0,0.0,0.0,317.0,66.0
Rock,Water,0.0,377.0,0.0,0.0,0.0,115.0,0.0,0.0,396.0,16.0,353.0,241.0
Rock,Flying,45.0,0.0,0.0,2.0,0.0,105.0,1243.0,26.0,450.0,0.0,272.0,0.0
Normal,None,0.0,0.0,6.0,0.0,221.0,601.0,0.0,0.0,1632.0,9.0,352.0,33.0
Ice,Flying,4.0,0.0,0.0,0.0,379.0,2076.0,0.0,0.0,163.0,10.0,344.0,41.0
Psychic,Flying,0.0,0.0,0.0,0.0,5.0,549.0,752.0,0.0,247.0,105.0,472.0,0.0
Electric,Flying,0.0,149.0,1661.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,445.0,306.0
Fighting,Flying,673.0,470.0,26.0,0.0,0.0,0.0,0.0,0.0,264.0,265.0,297.0,0.0
Fire,Flying,848.0,461.0,507.0,0.0,0.0,0.0,0.0,0.0,128.0,9.0,139.0,163.0
Dark,Flying,608.0,0.0,0.0,0.0,1377.0,0.0,0.0,382.0,48.0,0.0,203.0,0.0
Dragon,None,0.0,0.0,0.0,0.0,0.0,346.0,0.0,0.0,104.0,59.0,86.0,0.0
Dragon,None,0.0,0.0,0.0,0.0,0.0,802.0,0.0,4.0,250.0,91.0,168.0,0.0
Dragon,Flying,0.0,1336.0,159.0,0.0,157.0,0.0,0.0,0.0,413.0,6.0,416.0,226.0
Psychic,None,0.0,0.0,0.0,0.0,0.0,462.0,380.0,0.0,609.0,0.0,263.0,0.0
Psychic,None,0.0,0.0,0.0,0.0,0.0,7.0,0.0,592.0,29.0,0.0,115.0,0.0
Grass,None,13.0,0.0,0.0,784.0,0.0,0.0,0.0,13.0,10.0,0.0,71.0,0.0
Grass,None,4.0,2.0,820.0,472.0,0.0,0.0,0.0,0.0,11.0,3.0,202.0,0.0
Grass,None,492.0,0.0,190.0,1109.0,0.0,0.0,0.0,218.0,17.0,24.0,185.0,0.0
Fire,None,161.0,170.0,105.0,0.0,26.0,176.0,0.0,0.0,200.0,3.0,60.0,0.0
Fire,None,220.0,400.0,445.0,0.0,0.0,299.0,0.0,0.0,63.0,3.0,113.0,0.0
Fire,None,221.0,161.0,153.0,0.0,0.0,420.0,0.0,0.0,1104.0,0.0,133.0,99.0
Water,None,61.0,0.0,43.0,0.0,0.0,483.0,0.0,15.0,7.0,0.0,129.0,0.0
Water,None,120.0,0.0,133.0,0.0,0.0,713.0,0.0,17.0,189.0,0.0,177.0,0.0
Water,None,318.0,0.0,104.0,0.0,0.0,1545.0,0.0,45.0,205.0,0.0,406.0,0.0
Normal,None,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.0,0.0,143.0,0.0
Normal,None,2.0,1.0,254.0,0.0,0.0,69.0,0.0,0.0,541.0,2.0,0.0,618.0
Normal,Flying,128.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,79.0,175.0,88.0
Normal,Flying,6.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,1090.0,18.0,90.0,218.0
Bug,Flying,219.0,27.0,35.0,0.0,0.0,18.0,22.0,0.0,313.0,131.0,269.0,0.0
Bug,Flying,402.0,0.0,186.0,0.0,0.0,46.0,0.0,35.0,148.0,116.0,311.0,0.0
Bug,Poison,16.0,0.0,96.0,256.0,0.0,0.0,0.0,10.0,11.0,26.0,234.0,0.0
Bug,Poison,358.0,0.0,256.0,0.0,0.0,0.0,214.0,0.0,19.0,42.0,333.0,0.0
Poison,Flying,2.0,0.0,10.0,0.0,0.0,345.0,876.0,0.0,0.0,4.0,227.0,0.0
Water,Electric,33.0,0.0,211.0,0.0,16.0,486.0,0.0,0.0,47.0,0.0,104.0,0.0
Water,Electric,20.0,0.0,323.0,0.0,0.0,909.0,0.0,0.0,56.0,0.0,99.0,0.0
Electric,None,7.0,6.0,262.0,0.0,0.0,157.0,0.0,14.0,28.0,5.0,46.0,0.0
Fairy,None,196.0,25.0,0.0,0.0,0.0,0.0,0.0,177.0,36.0,0.0,49.0,18.0
Normal,Fairy,17.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,27.0,0.0,52.0,0.0
Fairy,None,34.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,266.0,2.0,72.0,24.0
Fairy,Flying,19.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,169.0,118.0,107.0,0.0
Psychic,Flying,96.0,0.0,81.0,256.0,0.0,0.0,0.0,0.0,6.0,104.0,0.0,0.0
Psychic,Flying,195.0,9.0,60.0,240.0,0.0,0.0,0.0,0.0,97.0,93.0,192.0,0.0
Electric,None,0.0,0.0,55.0,0.0,43.0,79.0,0.0,0.0,699.0,58.0,139.0,0.0
Electric,None,252.0,0.0,0.0,0.0,0.0,28.0,0.0,241.0,141.0,135.0,89.0,0.0
Electric,None,11.0,135.0,631.0,0.0,0.0,0.0,0.0,0.0,76.0,64.0,223.0,0.0
Grass,None,182.0,63.0,127.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0
Water,Fairy,54.0,0.0,0.0,0.0,0.0,532.0,0.0,0.0,77.0,9.0,96.0,0.0
Water,Fairy,102.0,0.0,0.0,0.0,0.0,906.0,0.0,0.0,149.0,0.0,225.0,0.0
Rock,None,5.0,0.0,413.0,253.0,0.0,0.0,0.0,0.0,178.0,0.0,189.0,0.0
Water,None,18.0,51.0,279.0,694.0,32.0,20.0,0.0,8.0,1.0,0.0,205.0,0.0
Grass,Flying,0.0,0.0,8.0,359.0,0.0,0.0,0.0,308.0,0.0,0.0,86.0,0.0
Grass,Flying,0.0,64.0,72.0,486.0,0.0,0.0,0.0,0.0,7.0,0.0,116.0,0.0
Grass,Flying,12.0,0.0,158.0,24.0,0.0,503.0,0.0,0.0,652.0,0.0,36.0,0.0
Normal,None,0.0,0.0,0.0,0.0,0.0,0.0,404.0,0.0,256.0,10.0,170.0,0.0
Grass,None,0.0,0.0,253.0,117.0,0.0,0.0,0.0,0.0,0.0,3.0,96.0,0.0
Grass,None,8.0,114.0,357.0,334.0,0.0,0.0,0.0,0.0,42.0,0.0,187.0,0.0
Bug,Flying,152.0,0.0,0.0,148.0,0.0,185.0,0.0,0.0,563.0,111.0,152.0,95.0
Water,Ground,24.0,0.0,0.0,0.0,0.0,415.0,81.0,53.0,0.0,0.0,79.0,0.0
Water,Ground,0.0,0.0,0.0,0.0,496.0,1066.0,33.0,0.0,2.0,0.0,143.0,0.0
Psychic,None,5.0,0.0,0.0,0.0,0.0,49.0,6.0,717.0,2.0,0.0,211.0,0.0
Dark,None,8.0,0.0,86.0,0.0,0.0,612.0,0.0,0.0,2.0,0.0,225.0,0.0
Dark,Flying,11.0,0.0,91.0,0.0,0.0,566.0,0.0,4.0,24.0,0.0,145.0,0.0
Water,Psychic,611.0,40.0,71.0,0.0,0.0,0.0,0.0,191.0,304.0,342.0,211.0,0.0
Poison,Psychic,0.0,0.0,0.0,15.0,0.0,297.0,708.0,436.0,79.0,0.0,288.0,0.0
Ghost,None,16.0,0.0,10.0,0.0,0.0,638.0,0.0,210.0,0.0,0.0,178.0,0.0
Psychic,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,219.0,97.0,0.0
Psychic,None,29.0,45.0,0.0,0.0,0.0,1153.0,0.0,0.0,0.0,46.0,164.0,0.0
Normal,Psychic,0.0,0.0,518.0,0.0,0.0,89.0,0.0,90.0,187.0,244.0,161.0,172.0
Bug,None,10.0,0.0,0.0,0.0,405.0,345.0,0.0,0.0,8.0,0.0,184.0,0.0
Bug,Steel,329.0,0.0,0.0,0.0,0.0,298.0,511.0,6.0,252.0,8.0,401.0,0.0
Normal,None,0.0,0.0,322.0,0.0,259.0,22.0,0.0,0.0,215.0,0.0,114.0,0.0
Ground,Flying,33.0,0.0,0.0,0.0,0.0,307.0,0.0,1176.0,9.0,0.0,198.0,0.0
Steel,Ground,3.0,0.0,0.0,0.0,0.0,1952.0,0.0,2.0,955.0,0.0,416.0,0.0
Fairy,None,303.0,28.0,0.0,0.0,0.0,60.0,0.0,271.0,13.0,96.0,156.0,10.0
Fairy,None,2.0,0.0,0.0,0.0,0.0,45.0,0.0,761.0,509.0,22.0,288.0,0.0
Water,Poison,18.0,0.0,0.0,166.0,338.0,0.0,0.0,4.0,203.0,0.0,102.0,0.0
Bug,Steel,1063.0,7.0,14.0,0.0,0.0,127.0,0.0,0.0,75.0,115.0,400.0,184.0
Bug,Rock,161.0,0.0,369.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,169.0,0.0
Bug,Fighting,0.0,0.0,22.0,0.0,0.0,1068.0,0.0,0.0,10.0,22.0,308.0,0.0
Dark,Ice,41.0,11.0,0.0,0.0,452.0,108.0,0.0,185.0,119.0,42.0,167.0,0.0
Normal,None,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,4.0,93.0,84.0
Normal,None,0.0,1286.0,154.0,0.0,0.0,0.0,0.0,0.0,607.0,46.0,207.0,134.0
Fire,None,526.0,76.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0
Fire,Rock,885.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,92.0,474.0,255.0,77.0
Ice,Ground,4.0,0.0,91.0,0.0,0.0,0.0,0.0,6.0,399.0,0.0,45.0,1.0
Ice,Ground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1687.0,5.0,141.0,0.0
